Party,Districtcode,DistrictTamilname,DistrictFusionCode,OndNagCode,ondnagname,OndNagFusionCode,blockcode,blockname,Ward,subward,Formno,SlNo,Name,relation,FName,Age,Sex,doorno,Address,elecid,remarks,MemberBarcode,MemberNo,Ond_Perur_Code,Ond_Perur_Name,MobileNo,AssemblyCode,AssemblyNameTamil,hamletcode,hamletname
DMK,5,????????,DF0521,1021,?????????,NF1021,501,????????,12,A,45,1,Ramesh K,S/O,Kumar,34,M,12/3A,Bazaar Street,TN05A12345,OK,MB1234501,101,2101,?????? ???????,9122765432,AC142,???????? ???????,H101,??????????????
ADMK,9,?????????????,DF0911,2044,???????????,NF2044,902,??????,18,B,62,4,Priya S,D/O,Selvam,29,F,45/7,Main Road,TN09X99231,Verified,MB9934102,102,3102,?????? ??????,9890876123,AC115,??????,H205,????????????
BJP,3,?????,DF0312,3012,?????????????,NF3012,303,????????,7,C,18,8,Karthik M,S/O,Manohar,41,M,22-Mar,South Street,TN03Q11239,OK,MB8822103,103,4101,?????? ??????,9845012345,AC089,????? ??????,H330,???????? ?????
NTK,12,?????,DF1233,1099,?????????????????,NF1099,120,???????????,22,D,75,2,Anitha R,W/O,Rajendran,36,F,08-Oct,Melur Road,TN12L55121,OK,MB4412104,104,5103,??????????,9876002211,AC069,????? ??????,H560,?????????
DMK,6,?????????,DF0633,1876,???? ?????,NF1876,605,????????,4,E,11,6,Suresh P,S/O,Palanisamy,52,M,6/12B,West Street,TN06M99882,Verified,MB2255105,105,3104,?????? ???????,9790771230,AC128,?????????,H615,???????
ADMK,1,??????,DF0133,4002,????????????,NF4002,101,??????,27,F,89,3,Lakshmi V,W/O,Varadan,48,F,89/1,Arcot Road,TN01F66177,OK,MB7819106,106,2105,?????? ??????,9090087788,AC021,?????? ??????,H711,????????????
BJP,10,????????????,DF1022,6781,???????????,NF6781,100,????????????,9,G,54,9,Gopi K,S/O,Krishnan,31,M,Feb-44,Gandhi Street,TN10R43211,Verified,MB5611107,107,5106,????????????,9003105555,AC167,????????????,H731,?????????
NTK,8,??????,DF0822,5501,?????? ????,NF5501,802,????????,13,H,32,5,Revathi M,D/O,Murugan,26,F,7/90A,Temple Street,TN08P22511,OK,MB8245108,108,6108,??????????,8088123499,AC143,??????,H824,??????????
DMK,4,?????,DF0411,2888,????????????,NF2888,401,????????,16,I,22,10,Elango S,S/O,Subramani,57,M,02-Nov,Market Street,TN04Z14412,OK,MB6543109,109,7101,???????? ???????,9944432100,AC102,?????,H902,?????????????
ADMK,7,????????,DF0721,3901,???????,NF3901,701,??????????????,5,J,13,7,Meena R,W/O,Ravi,39,F,May-77,Bazaar Line,TN07C99123,Verified,MB9002110,110,8203,??????????,8765430011,AC151,????????,H980,??????????????
